bus = [  1,  2,  3,  6,  8,  9,  12, ]
pmin = [  30,  5,  20,  30,  5,  5,  5, ]
pmax = [  80,  20,  50,  80,  30,  20,  20, ]
cnl = [  74.33,  17.95,  58.81,  74.33,  31.67,  17.95,  17.95, ]
sdc = [  0,  0,  0,  0,  0,  0,  0, ]
suc = [  0,  0,  0,  0,  0,  0,  0, ]
mu = [  4,  1,  1,  4,  1,  1,  1, ]
md = [  4,  1,  1,  4,  1,  1,  1, ]
ru = [  40,  10,  50,  40,  30,  10,  10, ]
rd = [  40,  10,  50,  40,  30,  10,  10, ]
msr = [  3,  1,  1,  3,  1,  1,  1, ]
qsc = [  0,  0,  0,  0,  0,  0,  0, ]
laststat = [  1,  1,  1,  1,  1,  1,  1, ]
mn = [  4,  1,  1,  4,  1,  1,  1, ]
lastp = [  30,  5,  20,  30,  5,  5,  5, ]
mf = [  96,  96,  96,  96,  96,  96,  96, ]
demand = [  131.97,  136.12,  128.65,  123.67,  120.35,  120.35,  125.33,  135.29,  138.61,  145.25,  161.02,  177.62,  183.43,  188.41,  189.24,  193.39,  199.2,  199.2,  191.73,  191.73,  185.09,  185.09,  180.94,  152.72,  131.97,  136.12,  128.65,  123.67,  120.35,  120.35,  125.33,  135.29,  138.61,  145.25,  161.02,  177.62,  183.43,  188.41,  189.24,  193.39,  199.2,  199.2,  191.73,  191.73,  185.09,  185.09,  180.94,  152.72,  131.97,  136.12,  128.65,  123.67,  120.35,  120.35,  125.33,  135.29,  138.61,  145.25,  161.02,  177.62,  183.43,  188.41,  189.24,  193.39,  199.2,  199.2,  191.73,  191.73,  185.09,  185.09,  180.94,  152.72,  131.97,  136.12,  128.65,  123.67,  120.35,  120.35,  125.33,  135.29,  138.61,  145.25,  161.02,  177.62,  183.43,  188.41,  189.24,  193.39,  199.2,  199.2,  191.73,  191.73,  185.09,  185.09,  180.94,  152.72, ]
percentload = [  0,  24.42,  37,  0,  21.23,  24.42,  24.42,  49.89,  36.09,  14.86,  95.54,  26.54,  11.68,  63.69,  47.77,  19.11,  14.86,  10.62,  7.43,  65.82,  18.05,  25.48,  45.65,  62.63,  24.42,  62.63,  35.03,  32.91,  27,  20,  37,  37,  18,  16,  53,  28,  34,  20,  87,  17,  17,  18,  23,  113,  63,  84,  12,  12,  277,  78,  77,  39,  28,  66,  68,  47,  68, ]
psegmax = [
[ 40,  40, ],
[ 10,  10, ],
[ 25,  25, ],
[ 40,  40, ],
[ 15,  15, ],
[ 10,  10, ],
[ 10,  10, ],
]
cseg = [
[ 17.3077,  51.923, ],
[ 37.9798,  113.9394, ],
[ 23.1866,  69.5598, ],
[ 17.3077,  51.923, ],
[ 27.2888,  81.8663, ],
[ 37.9798,  113.9394, ],
[ 37.9798,  113.9394, ],
]
line = [
[ 23,  24,  .0492,  100, ],
[ 25,  27,  .163,  500, ],
[ 31,  32,  .0985,  100, ],
[ 23,  24,  .0492,  100, ],
[ 1,  3,  .0424,  100, ],
[ 25,  27,  .163,  500, ],
[ 25,  27,  .163,  500, ],
[ 8,  9,  .0505,  500, ],
[ 9,  10,  .1679,  500, ],
[ 9,  11,  .0848,  100, ],
[ 9,  12,  .295,  100, ],
[ 9,  13,  .158,  100, ],
[ 13,  14,  .0434,  100, ],
[ 13,  15,  .0869,  100, ],
[ 1,  15,  .091,  100, ],
[ 1,  16,  .206,  100, ],
[ 1,  17,  .108,  100, ],
[ 3,  15,  .053,  100, ],
[ 4,  18,  .555,  100, ],
[ 4,  18,  .43,  100, ],
[ 5,  6,  .0641,  500, ],
[ 7,  8,  .0712,  100, ],
[ 10,  12,  .1262,  100, ],
[ 11,  13,  .0732,  100, ],
[ 12,  13,  .058,  100, ],
[ 12,  16,  .0813,  100, ],
[ 12,  17,  .179,  100, ],
[ 14,  15,  .0547,  100, ],
[ 18,  19,  .685,  100, ],
[ 19,  20,  .434,  100, ],
[ 21,  20,  .7767,  500, ],
[ 21,  22,  .117,  500, ],
[ 22,  23,  .0152,  500, ],
[ 23,  24,  .256,  100, ],
[ 24,  25,  1.182,  100, ],
[ 24,  25,  1.23,  500, ],
[ 24,  26,  .0473,  100, ],
[ 26,  27,  .254,  500, ],
[ 27,  28,  .0954,  100, ],
[ 28,  29,  .0587,  100, ],
[ 7,  29,  .0648,  100, ],
[ 25,  30,  .202,  100, ],
[ 30,  31,  .497,  100, ],
[ 31,  32,  .755,  100, ],
[ 32,  33,  .036,  100, ],
[ 34,  32,  .953,  100, ],
[ 34,  35,  .078,  100, ],
[ 35,  36,  .0537,  100, ],
[ 36,  37,  .0366,  100, ],
[ 37,  38,  .1009,  500, ],
[ 37,  39,  .0379,  500, ],
[ 36,  40,  .0466,  100, ],
[ 22,  38,  .0295,  100, ],
[ 11,  41,  .749,  100, ],
[ 41,  42,  .352,  100, ],
[ 41,  43,  .412,  100, ],
[ 38,  44,  .0585,  100, ],
[ 15,  45,  .1042,  100, ],
[ 14,  46,  .0735,  100, ],
[ 46,  47,  .068,  100, ],
[ 47,  48,  .0233,  100, ],
[ 48,  49,  .129,  100, ],
[ 49,  50,  .128,  100, ],
[ 50,  51,  .22,  100, ],
[ 10,  51,  .0712,  100, ],
[ 13,  49,  .191,  100, ],
[ 29,  52,  .187,  100, ],
[ 52,  53,  .0984,  100, ],
[ 53,  54,  .232,  100, ],
[ 54,  55,  .2265,  100, ],
[ 11,  43,  .153,  100, ],
[ 44,  45,  .1242,  100, ],
[ 40,  56,  1.195,  100, ],
[ 56,  41,  .549,  100, ],
[ 56,  42,  .354,  100, ],
