"(('s', '6'), ('s', '7'), ('s', '9'), ('s', '10'))",5.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('s', '13'))",22.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('s', '14'))",19.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('6', '7'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('6', '13'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('7', '8'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('7', '12'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('7', '14'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('8', '10'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('8', '11'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('8', '12'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('9', '10'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('9', '12'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('10', '12'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('10', '13'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('10', '14'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('10', 't'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('11', '13'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('11', 't'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('12', 't'))",23.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('13', 't'))",22.0
"(('s', '6'), ('s', '7'), ('s', '9'), ('14', 't'))",19.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('s', '13'))",30.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('s', '14'))",27.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('6', '7'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('6', '13'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('7', '8'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('7', '12'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('7', '14'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('8', '10'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('8', '11'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('8', '12'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('9', '10'))",11.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('9', '12'))",25.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('10', '12'))",31.0
"(('s', '6'), ('s', '7'), ('s', '10'), ('10', '13'))",31.0
