order_id,product_id,user_id,quantity,price,timestamp
0,553,4397,8,490.6,2023-08-18
1,441,6066,2,23.87,2023-10-09
2,382,7866,1,888.09,2023-11-28
3,786,1496,1,702.55,2023-03-16
4,521,5446,9,324.72,2023-06-18
5,557,6481,5,425.16,2023-10-09
6,511,8011,1,135.32,2023-10-21
7,406,4861,8,148.19,2023-06-16
8,997,2922,5,661.31,2023-06-27
9,103,7812,9,621.18,2023-07-28
10,341,113,8,406.18,2023-01-14
11,249,6389,10,844.86,2023-01-28
12,530,1684,9,513.3,2023-04-18
13,303,3670,7,40.64,2023-03-14
14,479,8744,1,806.31,2023-05-20
15,515,6713,5,687.25,2023-09-28
16,180,833,9,74.91,2023-07-12
17,324,2381,10,901.01,2023-10-16
18,119,9829,5,638.45,2023-03-07
19,491,5470,4,639.53,2023-11-19
20,603,8010,7,148.55,2023-12-13
21,683,787,8,67.41,2023-09-01
22,379,6504,5,292.59,2023-11-08
23,52,6616,2,335.08,2023-06-23
24,334,5557,7,747.45,2023-07-21
25,109,1482,1,811.22,2023-06-19
26,504,3515,6,49.21,2023-03-15
27,201,260,6,307.56,2023-04-11
28,552,4313,10,335.77,2023-08-08
29,401,9537,8,411.27,2023-10-06
30,840,6684,1,180.35,2023-07-26
31,830,7019,2,448.22,2023-05-13
32,944,3804,5,597.47,2023-11-19
33,663,3594,1,377.0,2023-11-04
34,638,3866,6,280.56,2023-07-23
35,620,7954,6,500.13,2023-01-26
36,472,5369,10,834.05,2023-03-12
37,77,2641,1,312.92,2023-12-09
38,68,5413,10,275.48,2023-05-26
39,486,2281,6,72.36,2023-04-07
40,336,5464,8,189.97,2023-09-03
41,610,2902,7,962.04,2023-05-02
42,95,6669,2,15.44,2023-04-23
43,59,7662,8,602.9,2023-04-08
44,641,7381,2,801.07,2023-03-20
45,893,3842,8,358.19,2023-02-05
46,253,2885,2,98.71,2023-06-11
47,453,8807,10,582.92,2023-03-28
48,933,301,6,253.44,2023-08-04
49,549,9078,9,108.29,2023-09-08
50,728,2319,6,712.58,2023-11-01
51,959,7004,6,42.23,2023-07-08
52,380,2062,3,215.22,2023-12-27
53,387,4136,1,114.41,2023-08-18
54,626,4239,3,68.11,2023-09-28
55,548,8083,6,720.11,2023-02-15
56,265,9842,4,433.08,2023-09-06
57,740,1517,3,977.0,2023-01-06
58,571,511,9,708.84,2023-12-18
59,548,8745,1,159.22,2023-12-01
60,132,9882,9,501.15,2023-04-26
61,2,1757,3,250.55,2023-09-01
62,863,7877,4,510.28,2023-12-05
63,607,6117,6,932.16,2023-11-10
64,812,5072,6,286.32,2023-03-15
65,857,1450,1,387.18,2023-12-21
66,909,578,4,736.64,2023-06-05
67,713,6115,3,834.35,2023-10-25
68,775,7442,3,634.81,2023-09-12
69,759,9217,7,286.27,2023-09-09
70,430,233,4,747.4,2023-06-19
71,100,8634,6,254.84,2023-11-05
72,223,2104,7,100.93,2023-10-21
73,804,9203,2,420.32,2023-03-02
74,202,4860,7,162.13,2023-06-21
75,127,410,3,304.93,2023-09-03
76,100,1651,8,304.35,2023-11-10
77,511,490,8,228.51,2023-04-03
78,294,4787,2,430.87,2023-01-15
79,80,1458,10,504.25,2023-05-14
80,740,9606,6,54.75,2023-07-13
81,814,6189,7,959.48,2023-10-07
82,825,8016,5,56.03,2023-01-19
83,532,5742,8,758.59,2023-09-15
84,769,2985,1,562.96,2023-08-17
85,106,1388,3,637.22,2023-06-10
86,799,2918,1,790.82,2023-10-03
87,491,3125,5,581.57,2023-01-04
88,377,8962,5,295.91,2023-09-10
89,787,5490,7,23.47,2023-12-15
90,391,6293,4,148.03,2023-04-27
91,773,6630,10,431.12,2023-08-14
92,659,1011,3,178.8,2023-02-04
93,245,2617,5,347.98,2023-06-13
94,505,7260,9,925.52,2023-12-26
95,839,2372,7,292.19,2023-11-22
96,998,6689,6,341.35,2023-05-22
97,443,8995,9,276.87,2023-04-13
98,359,6485,3,736.56,2023-08-24
