	1	2
1	27.2888	81.8663
2	27.2888	81.8663
3	27.2888	81.8663
4	15.6062	46.8188
5	14.5187	43.5562
6	27.2888	81.8663
7	18.46	55.38
8	27.2888	81.8663
9	27.2888	81.8663
10	14.5187	43.5562
11	11.285	33.855
12	27.2888	81.8663
13	27.2888	81.8663
14	18.46	55.38
15	27.2888	81.8663
16	18.46	55.38
17	27.2888	81.8663
18	27.2888	81.8663
19	18.46	55.38
20	12.6301	37.8902
21	12.6301	37.8902
22	18.46	55.38
23	18.46	55.38
24	13.73	41.19
25	13.73	41.19
26	18.46	55.38
27	10.5631	31.6894
28	10.5631	31.6894
29	14.5187	43.5562
30	17.3077	51.923
31	27.2888	81.8663
32	27.2888	81.8663
33	37.9798	113.9394
34	18.46	55.38
35	18.46	55.38
36	15.6062	46.8188
37	18.46	55.38
38	27.2888	81.8663
39	11.735	35.205
40	15.6062	46.8188
41	37.9798	113.9394
42	23.1866	69.5598
43	14.5187	43.5562
44	14.5187	43.5562
45	14.5187	43.5562
46	37.9798	113.9394
47	18.46	55.38
48	18.46	55.38
49	37.9798	113.9394
50	23.1866	69.5598
51	18.46	55.38
52	18.46	55.38
53	18.46	55.38
54	23.1866	69.5598;
